tur;ogretim_yili;net_okullasma_orani;okul_sayisi;ogretmen_sayisi;ogrenci_sayisi;derslik_sayisi;sube_sayisi;obd_ogrenci_sayisi;sbd_ogrenci_sayisi;oobd_ogrenci_sayisi
ilkogretim;1997-1998;84,74;47365;302254;9084635;;317718;192;29;30
ilkogretim;1998-1999;89,26;45102;317790;9609050;;311871;213;31;30
ilkogretim;1999-2000;93,54;33317;325140;10028979;;321828;297;31;30
ilkogretim;2000-2001;95,28;36072;345015;10480721;;348135;286;30;30
ilkogretim;2001-2002;92,4;35052;372687;10477616;;370739;299;28;28
ilkogretim;2002-2003;90,98;35133;373303;10331645;;377609;294;27;28
ilkogretim;2003-2004;90,21;36114;384170;10479538;;386879;285;27;27
ilkogretim;2004-2005;89,66;35611;401288;10565389;;380126;290;27;26
ilkogretim;2005-2006;89,77;34990;389859;10673935;297000;382061;297;27;27
ilkogretim;2006-2007;90,13;34656;402829;10846930;307511;387351;305;27;26
ilkogretim;2007-2008;97,37;34093;445452;10870570;315887;392521;310;27;24
ilkogretim;2008-2009;96,49;33769;453318;10709920;320393;408221;307;25;23
ilkogretim;2009-2010;98,17;33310;485677;10916643;332902;416930;316;25;22
ilkogretim;2010-2011;98,41;32797;503328;10981100;339653;418334;322;25;21
ilkogretim;2011-2012;98,67;32108;515852;10979301;344710;422751;323;25;20
ortaogretim;1997-1998;37,87;5624;140619;2129969;;59929;361;34;14
ortaogretim;1998-1999;38,87;5963;145903;2280676;;65426;344;31;14
ortaogretim;1999-2000;40,38;6000;143379;2316350;;67710;344;30;14
ortaogretim;2000-2001;43,95;6291;140969;2362653;;71920;345;30;15
ortaogretim;2001-2002;48,11;6367;144884;2579747;;80528;405;32;18
ortaogretim;2002-2003;50,57;6210;137956;3023602;;86701;399;29;18
ortaogretim;2003-2004;53,37;6941;147776;3014392;;92238;389;29;18
ortaogretim;2004-2005;54,87;6816;167614;3039449;;96212;379;28;16
ortaogretim;2005-2006;56,63;7435;185317;3258254;93488;100169;394;29;16
ortaogretim;2006-2007;56,51;7934;187665;3386717;98748;105697;382;29;16
ortaogretim;2007-2008;58,56;8280;191041;3245322;100853;105606;352;28;15
ortaogretim;2008-2009;58,52;8675;196713;3837164;109042;123930;384;27;17
ortaogretim;2009-2010;64,95;8913;206862;4240139;110310;139420;408;26;18
ortaogretim;2010-2011;66,07;9281;222705;4748610;117760;146814;428;27;18
ortaogretim;2011-2012;67,37;9672;235814;4756286;121914;148703;395;26;16
